id,name,common_name,super_category,kingdom,phylum,class,order,family,genus,specific_epithet
2169,Melittia cucurbitae,Squash Vine Borer,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,Melittia,cucurbitae
2170,Synanthedon acerni,Maple Callus Borer Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,acerni
2171,Acherontia atropos,Death's Head Hawkmoth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Acherontia,atropos
2172,Agrius cingulata,Pink-spotted Hawkmoth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Agrius,cingulata
2173,Agrius convolvuli,Convolvulus Hawkmoth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Agrius,convolvuli
2174,Amorpha juglandis,Walnut Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Amorpha,juglandis
2175,Amphion floridensis,Nessus Sphinx,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Amphion,floridensis
2176,Ceratomia amyntor,Elm Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Ceratomia,amyntor
2177,Ceratomia catalpae,Catalpa Sphinx,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Ceratomia,catalpae
2178,Ceratomia undulosa,Waved Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Ceratomia,undulosa
2179,Daphnis nerii,Oleander Hawk-moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Daphnis,nerii
2180,Darapsa choerilus,Azalea Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Darapsa,choerilus
2181,Darapsa myron,Virginia Creeper Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Darapsa,myron
2182,Deidamia inscriptum,Lettered Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deidamia,inscriptum
2183,Deilephila elpenor,Elephant Hawk-Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deilephila,elpenor
2184,Deilephila porcellus,Small Elephant Hawk-moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deilephila,porcellus
2185,Dolba hyloeus,Pawpaw Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Dolba,hyloeus
2186,Enyo lugubris,Mournful Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Enyo,lugubris
2187,Erinnyis ello,Ello Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Erinnyis,ello
2188,Erinnyis obscura,Obscure Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Erinnyis,obscura
2189,Eumorpha achemon,Achemon Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Eumorpha,achemon
2190,Eumorpha fasciatus,Banded Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Eumorpha,fasciatus
2191,Eumorpha pandorus,Pandorus Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Eumorpha,pandorus
2192,Eumorpha satellitia,Satellite Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Eumorpha,satellitia
2193,Eumorpha vitis,Vine Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Eumorpha,vitis
2194,Hemaris diffinis,Snowberry Clearwing,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hemaris,diffinis
2195,Hemaris fuciformis,Broad-bordered Bee Hawk-moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hemaris,fuciformis
2196,Hemaris thysbe,Hummingbird Clearwing,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hemaris,thysbe
2197,Hippotion celerio,Vine Hawk-Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hippotion,celerio
2198,Hippotion scrofa,Hippotion scrofa,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hippotion,scrofa
2199,Hyles euphorbiae,Leafy Spurge Hawk Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles,euphorbiae
2200,Hyles gallii,Bedstraw Hawk-moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles,gallii
2201,Hyles lineata,White-lined Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles,lineata
2202,Laothoe populi,Poplar Hawk-moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Laothoe,populi
2203,Lapara bombycoides,Northern Pine Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Lapara,bombycoides
2204,Macroglossum stellatarum,Hummingbird Hawkmoth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossum,stellatarum
2205,Manduca quinquemaculata,Tomato Hornworm,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,quinquemaculata
2206,Manduca rustica,Rustic Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,rustica
2207,Manduca sexta,Carolina Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,sexta
2208,Mimas tiliae,Lime Hawk-moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Mimas,tiliae
2209,Pachylia ficus,Fig Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Pachylia,ficus
2210,Pachysphinx modesta,Modest Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Pachysphinx,modesta
2211,Paonias excaecata,Blinded Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Paonias,excaecata
2212,Paonias myops,Small-eyed Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Paonias,myops
2213,Pseudosphinx tetrio,Tetrio Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Pseudosphinx,tetrio
2214,Smerinthus cerisyi,One-eyed Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Smerinthus,cerisyi
2215,Smerinthus jamaicensis,Twin-spotted Sphinx,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Smerinthus,jamaicensis
2216,Smerinthus ocellata,Eyed Hawkmoth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Smerinthus,ocellata
2217,Smerinthus ophthalmica,Smerinthus ophthalmica,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Smerinthus,ophthalmica
2218,Sphecodina abbottii,Abbott's Sphinx,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphecodina,abbottii
2219,Sphinx chersis,Great Ash Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,chersis
2220,Sphinx kalmiae,Laurel Sphinx,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,kalmiae
2221,Sphinx ligustri,Privet Hawkmoth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,ligustri
2222,Sphinx pinastri,Pine Hawk-Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,pinastri
2223,Sphinx poecila,Northern Apple Sphinx Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,poecila
2224,Theretra nessus,Yam Hawkmoth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Theretra,nessus
2225,Xylophanes tersa,Tersa Sphinx,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Xylophanes,tersa
2226,Thyris maculata,Spotted Thyris Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Thyrididae,Thyris,maculata
2227,Thyris sepulchralis,Mournful Thyris,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Thyrididae,Thyris,sepulchralis
2228,Acrolophus arcanella,Arcane Grass Tubeworm Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus,arcanella
2229,Acrolophus popeanella,Clemens' Grass Tubeworm Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus,popeanella
2230,Acrolophus texanella,Texas Grass Tubeworm Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus,texanella
2231,Acleris forsskaleana,Maple Leaftier,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,forsskaleana
2232,Archips argyrospila,Fruit-tree Leafroller Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Archips,argyrospila
2233,Archips purpurana,Omnivorous Leafroller,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Archips,purpurana
2234,Argyrotaenia quercifoliana,Yellow-winged Oak Leafroller Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,quercifoliana
2235,Argyrotaenia velutinana,Red-banded Leafroller,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,velutinana
2236,Cenopis pettitana,Maple-Basswood Leafroller Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cenopis,pettitana
2237,Cenopis reticulatana,Reticulated Fruitworm Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cenopis,reticulatana
2238,Choristoneura fumiferana,Spruce Budworm,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Choristoneura,fumiferana
2239,Choristoneura rosaceana,Oblique-banded Leafroller Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Choristoneura,rosaceana
2240,Clepsis melaleucana,Black-patched Clepsis Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Clepsis,melaleucana
2241,Clepsis peritana,Garden Tortrix,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Clepsis,peritana
2242,Clepsis persicana,White Triangle Tortrix,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Clepsis,persicana
2243,Clepsis virescana,Greenish Apple Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Clepsis,virescana
2244,Coelostathma discopunctana,The Batman Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Coelostathma,discopunctana
2245,Crocidosema plebejana,Cotton Tipworm Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Crocidosema,plebejana
2246,Cydia latiferreana,Filbertworm Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,latiferreana
2247,Cydia pomonella,Codling Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,pomonella
2248,Endothenia hebesana,Verbena Bud Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Endothenia,hebesana
2249,Epiblema otiosana,Bidens Borer Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epiblema,otiosana
2250,Epiblema scudderiana,Goldenrod Gall Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epiblema,scudderiana
2251,Epiblema strenuana,Ragweed Borer,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epiblema,strenuana
2252,Epiphyas postvittana,Light Brown Apple Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epiphyas,postvittana
2253,Eucopina tocullionana,White Pinecone Borer Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucopina,tocullionana
2254,Eucosma parmatana,Aster Eucosma Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eucosma,parmatana
2255,Eumarozia malachitana,Sculptured Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eumarozia,malachitana
2256,Gymnandrosoma punctidiscanum,Dotted Ecdytolopha Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Gymnandrosoma,punctidiscanum
2257,Isotenes miserana,Orange Fruit Borer,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Isotenes,miserana
2258,Pandemis limitata,Three-lined Leafroller,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pandemis,limitata
2259,Platynota exasperatana,Exasperating Platynota Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota,exasperatana
2260,Platynota flavedana,Black-shaded Platynota Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota,flavedana
2261,Platynota idaeusalis,Tufted Apple Bud Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota,idaeusalis
2262,Platynota rostrana,Omnivorous Platynota Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota,rostrana
2263,Sparganothis sulfureana,Sparganothis Fruitworm,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Sparganothis,sulfureana
2264,Sparganothoides lentiginosana,Lentiginos Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Sparganothoides,lentiginosana
2265,Syndemis afflictana,Gray Leafroller Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Syndemis,afflictana
2266,Syricoris lacunana,Common Marble,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Syricoris,lacunana
2267,Calledapteryx dryopterata,Brown Scoopwing,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Uraniidae,Calledapteryx,dryopterata
2268,Callizzia amorata,Gray Scoopwing,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Uraniidae,Callizzia,amorata
2269,Lyssa zampa,Tropical Swallowtail Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Uraniidae,Lyssa,zampa
2270,Micronia aculeata,Micronia aculeata,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Uraniidae,Micronia,aculeata
2271,Urania fulgens,Urania Swallowtail Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Uraniidae,Urania,fulgens
2272,Ypsolopha dentella,European Honeysuckle Leafroller,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Ypsolopha,dentella
2273,Harrisina americana,Grapeleaf Skeletonizer,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Harrisina,americana
2274,Pyromorpha dimidiata,Orange-patched Smoky Moth,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Pyromorpha,dimidiata
2275,Zygaena filipendulae,Six-spot Burnet,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,filipendulae
2276,Zygaena lonicerae,narrow-bordered five-spot burnet,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,lonicerae
2277,Zygaena transalpina,Zygaena transalpina,Insects,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,transalpina
2278,Ameles spallanzania,European Dwarf Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Amelidae,Ameles,spallanzania
2279,Empusa pennata,Conehead Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Empusidae,Empusa,pennata
2280,Iris oratoria,Mediterranean Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Eremiaphilidae,Iris,oratoria
2281,Archimantis latistyla,Stick Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Archimantis,latistyla
2282,Hierodula patellifera,Harabiro Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Hierodula,patellifera
2283,Mantis religiosa,Praying Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Mantis,religiosa
2284,Orthodera ministralis,Australian Green Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Orthodera,ministralis
2285,Orthodera novaezealandiae,New Zealand Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Orthodera,novaezealandiae
2286,Pseudomantis albofimbriata,False Garden Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Pseudomantis,albofimbriata
2287,Stagmomantis carolina,Carolina Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Stagmomantis,carolina
2288,Stagmomantis limbata,Arizona Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Stagmomantis,limbata
2289,Tenodera sinensis,Chinese Mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Tenodera,sinensis
2290,Miomantis caffra,South African praying mantis,Insects,Animalia,Arthropoda,Insecta,Mantodea,Miomantidae,Miomantis,caffra
2291,Thesprotia graminis,Grass-like Mantid,Insects,Animalia,Arthropoda,Insecta,Mantodea,Thespidae,Thesprotia,graminis
2292,Panorpa communis,Common European Scorpionfly,Insects,Animalia,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa,communis
2293,Panorpa nuptialis,Nuptial Scorpionfly,Insects,Animalia,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa,nuptialis
2294,Chauliodes pectinicornis,Summer Fishfly,Insects,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodes,pectinicornis
2295,Chauliodes rastricornis,Spring Fishfly,Insects,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodes,rastricornis
2296,Corydalus cornutus,Eastern Dobsonfly,Insects,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,Corydalus,cornutus
2297,Chrysopa oculata,Chrysopa oculata,Insects,Animalia,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysopa,oculata
2298,Micromus tasmaniae,Tasmanian Lacewing,Insects,Animalia,Arthropoda,Insecta,Neuroptera,Hemerobiidae,Micromus,tasmaniae
2299,Climaciella brunnea,Wasp Mantidfly,Insects,Animalia,Arthropoda,Insecta,Neuroptera,Mantispidae,Climaciella,brunnea
2300,Dicromantispa interrupta,Four-spotted Mantisfly,Insects,Animalia,Arthropoda,Insecta,Neuroptera,Mantispidae,Dicromantispa,interrupta
2301,Dicromantispa sayi,Say's Mantidfly,Insects,Animalia,Arthropoda,Insecta,Neuroptera,Mantispidae,Dicromantispa,sayi
2302,Zeugomantispa minuta,Green Mantidfly,Insects,Animalia,Arthropoda,Insecta,Neuroptera,Mantispidae,Zeugomantispa,minuta
2303,Libelloides coccajus,Owly Sulphur,Insects,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleontidae,Libelloides,coccajus
2304,Adversaeschna brevistyla,Blue-spotted Hawker,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Adversaeschna,brevistyla
2305,Aeshna canadensis,Canada Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,canadensis
2306,Aeshna constricta,Lance-tipped Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,constricta
2307,Aeshna cyanea,Southern Hawker,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,cyanea
2308,Aeshna eremita,Lake Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,eremita
2309,Aeshna grandis,Brown Hawker,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,grandis
2310,Aeshna interrupta,Variable Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,interrupta
2311,Aeshna juncea,Sedge Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,juncea
2312,Aeshna mixta,Migrant Hawker,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,mixta
2313,Aeshna palmata,Paddle-tailed Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,palmata
2314,Aeshna tuberculifera,Black-tipped Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,tuberculifera
2315,Aeshna umbrosa,Shadow Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,umbrosa
2316,Aeshna verticalis,Green-striped Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,verticalis
2317,Anax imperator,Emperor Dragonfly,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,imperator
2318,Anax junius,Common Green Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,junius
2319,Anax longipes,Comet Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,longipes
2320,Anax parthenope,Lesser Emperor,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,parthenope
2321,Basiaeschna janata,Springtime Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Basiaeschna,janata
2322,Boyeria vinosa,Fawn Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Boyeria,vinosa
2323,Epiaeschna heros,Swamp Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Epiaeschna,heros
2324,Gomphaeschna furcillata,Harlequin Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Gomphaeschna,furcillata
2325,Nasiaeschna pentacantha,Cyrano Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Nasiaeschna,pentacantha
2326,Rhionaeschna californica,California Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Rhionaeschna,californica
2327,Rhionaeschna multicolor,Blue-eyed Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Rhionaeschna,multicolor
2328,Rhionaeschna mutata,Spatterdock Darner,Insects,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Rhionaeschna,mutata
2329,Austroargiolestes icteromelas,Common Flatwing,Insects,Animalia,Arthropoda,Insecta,Odonata,Argiolestidae,Austroargiolestes,icteromelas
2330,Calopteryx aequabilis,River Jewelwing,Insects,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,aequabilis
2331,Calopteryx haemorrhoidalis,Copper Demoiselle,Insects,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,haemorrhoidalis
2332,Calopteryx maculata,Ebony Jewelwing,Insects,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,maculata
2333,Calopteryx splendens,Banded Demoiselle,Insects,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,splendens
2334,Calopteryx virgo,Beautiful Demoiselle,Insects,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,virgo
2335,Hetaerina americana,American Rubyspot,Insects,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Hetaerina,americana
2336,Hetaerina titia,Smoky Rubyspot,Insects,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Hetaerina,titia
2337,Matrona cyanoptera,Formosan Jewelwing,Insects,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Matrona,cyanoptera
2338,Heliocypha perforata,Common Blue Jewel,Insects,Animalia,Arthropoda,Insecta,Odonata,Chlorocyphidae,Heliocypha,perforata
2339,Libellago lineata,Golden gem,Insects,Animalia,Arthropoda,Insecta,Odonata,Chlorocyphidae,Libellago,lineata
2340,Agriocnemis femina,Variable Wisp,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,femina
2341,Agriocnemis pygmaea,Wandering Midget,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Agriocnemis,pygmaea
2342,Amphiagrion saucium,Eastern Red Damsel,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Amphiagrion,saucium
2343,Argia alberta,Paiute Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,alberta
2344,Argia apicalis,Blue-fronted Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,apicalis
2345,Argia bipunctulata,Seepage Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,bipunctulata
2346,Argia emma,Emma's Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,emma
2347,Argia fumipennis,Variable Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,fumipennis
2348,Argia immunda,Kiowa Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,immunda
2349,Argia moesta,Powdered Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,moesta
2350,Argia nahuana,Aztec Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,nahuana
2351,Argia plana,Springwater Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,plana
2352,Argia sedula,Blue-ringed Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,sedula
2353,Argia tibialis,Blue-tipped Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,tibialis
2354,Argia translata,Dusky Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,translata
2355,Argia vivida,Vivid Dancer,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,vivida
2356,Austroagrion watsoni,Eastern Billabongfly,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Austroagrion,watsoni
2357,Ceriagrion auranticum,Orange-tailed Sprite,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ceriagrion,auranticum
2358,Ceriagrion cerinorubellum,Orange-tailed Marsh Dart,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ceriagrion,cerinorubellum
2359,Ceriagrion coromandelianum,Coromandel Marsh Dart,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ceriagrion,coromandelianum
2360,Ceriagrion glabrum,Common Citril,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ceriagrion,glabrum
2361,Chromagrion conditum,Aurora Damsel,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Chromagrion,conditum
2362,Coenagrion puella,Azure Damselfly,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,puella
2363,Coenagrion pulchellum,Variable Damselfly,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,pulchellum
2364,Coenagrion resolutum,Taiga Bluet,Insects,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,resolutum
